Ruc|Nombre/Razon|A partir del|Resolucion|
20512081372|'NEGOCIACION KIO' SOCIEDAD ANONIMA CERRADA|01/06/2012|RS R.S.096-2012|
20526016069|'PQA DEL PERU S.A.C '|01/09/2016|RS R.S.180-2016|
20505108672|1818 S.A.C|01/02/2006|RS R.S.254-2005|
20315738823|3A S.A.|01/11/2012|RS R.S.228-2012|
20509430625|3B E.I.R.L.|01/09/2016|RS R.S.180-2016|
20100119227|3M PERU S A|01/06/2002|RS R.S.037-2002|
20480085184|A & B REPRESENTACIONES S.R.L.|01/12/2011|RS R.S.257-2011|
20326764214|A I D INGENIEROS S.A.C.|01/03/2014|RS R.S.378-2013|
20470234599|A K DRILLING INTERNATIONAL S.A.|01/05/2011|RS R.S.082-2011|
20100050359|A W FABER CASTELL PERUANA S A|01/06/2002|RS R.S.037-2002|
20429006300|A Y A EDIFICACIONES S.A.C.|01/11/2012|RS R.S.228-2012|
20517759539|A Y G GRUPO INMOBILIARIO SOCIEDAD ANONIMA CERRADA EN LIQUIDACION|01/02/2015|RS R.S.395-2014|
20100029741|A. BERIO Y CIA S.A.C.|01/11/2012|RS R.S.228-2012|
20131524545|A. SOLANO & CIA S.A.C.|01/11/2012|RS R.S.228-2012|
20377066635|A.HARTRODT PERU S.A.C|01/12/2019|RS R.S.203-2019|
20506491216|AB TECHNOLOGY SAC|01/09/2018|RS R.S.182-2018|
20514902586|ABAD SERVICIOS Y FABRICACIONES EN GENERAL SOCIEDAD ANONIMA CERRADA|01/09/2016|RS R.S.180-2016|
20547266782|ABANTIA PERU S.A.C.|01/07/2015|RS R.S.139-2015|
20100022142|ABB S.A.|01/06/2002|RS R.S.037-2002|
20100096936|ABBOTT LABORATORIOS SA|01/06/2002|RS R.S.037-2002|
20253757931|ABENGOA PERU S.A.|01/06/2002|RS R.S.037-2002|
20470526379|ABERCROMBIE & KENT PERU S.A.C.|01/06/2017|RS R.S.095-2017|
20100068487|ABRASIVOS S.A.|01/06/2002|RS R.S.037-2002|
20546128939|AC AGREGADOS SOCIEDAD ANONIMA - AC AGREGADOS S.A.|01/07/2015|RS R.S.139-2015|
20520102508|ACCENTURE PERU S.R.L.|01/06/2012|RS R.S.096-2012|
20549024417|ACCIONA CONSTRUCCION S.A. SUCURSAL PERU|01/07/2015|RS R.S.139-2015|
20505830319|ACCUAPRODUCT S.A.C.|01/06/2017|RS R.S.095-2017|
20100241022|ACEROS COMERCIALES S C R L|01/11/2012|RS R.S.228-2012|
20430039254|ACEROS DEL PERU SOCIEDAD ANONIMA CERRADA ACEPESAC|01/06/2012|RS R.S.096-2012|
20265835270|ACEROS Y CONCRETOS SAC|01/06/2002|RS R.S.037-2002|
20551804403|ACT PERU S.A.C.|01/06/2017|RS R.S.095-2017|
20454509707|ACTIV INTERNATIONAL S.A.C. EN LIQUIDACION|01/07/2015|RS R.S.139-2015|
20537777592|ACTIVA PERU M & O CONSTRUCTION S.A.C.|01/02/2015|RS R.S.395-2014|
20103030791|ACTIVOS MINEROS S.A.C.|01/02/2015|RS R.S.395-2014|
20136740351|ACUACULTURA Y PESCA S.A.C|01/08/2006|RS R.S.091-2006|
20484136689|ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA CERRADA|01/07/2015|RS R.S.139-2015|
20516596946|ADAMA AGRICULTURE PERU S.A.|01/09/2016|RS R.S.180-2016|
20100108616|ADAMS S A|01/06/2002|RS R.S.037-2002|
